model,class,support,precision,recall,f1,f1_ci_low,f1_ci_high
extra_trees,transition,77,0.4639175257731959,0.5844155844155844,0.5172413793103449,0.43163978494623656,0.576661438576014
extra_trees,nir_night,361,0.9587912087912088,0.9667590027700831,0.9627586206896551,0.9483273893007413,0.9747035888488769
gradient_boosting,night_clear,417,0.9482352941176471,0.9664268585131894,0.9572446555819477,0.9466059280645189,0.9707960586023596
gradient_boosting,normal_night,352,0.8046875,0.8778409090909091,0.8396739130434783,0.8094850311777345,0.8635464573463812
gradient_boosting,normal_day,366,0.6968325791855203,0.8415300546448088,0.7623762376237624,0.7294736071811885,0.7921576964839958
gradient_boosting,fog,231,0.7692307692307693,0.7792207792207793,0.7741935483870968,0.733314073218069,0.8158519849767173
gradient_boosting,rain,194,0.6462585034013606,0.4896907216494845,0.5571847507331378,0.49342318905584215,0.6332752016442963
gradient_boosting,glare,60,0.7241379310344828,0.35,0.47191011235955055,0.36562173458725183,0.5970312499999999
gradient_boosting,backlight,55,0.6382978723404256,0.5454545454545454,0.5882352941176471,0.4804781626506024,0.6944711538461538
gradient_boosting,transition,77,0.7105263157894737,0.35064935064935066,0.46956521739130436,0.3455018867924528,0.5606631892697466
gradient_boosting,nir_night,361,0.9700272479564033,0.9861495844875346,0.978021978021978,0.9655405512149654,0.9878759033335923
hist_gradient_boosting,night_clear,417,0.9738717339667459,0.9832134292565947,0.9785202863961814,0.9669667031136103,0.9870437995288069
hist_gradient_boosting,normal_night,352,0.8373333333333334,0.8920454545454546,0.8638239339752407,0.8383183568677792,0.8891905935290336
hist_gradient_boosting,normal_day,366,0.7440758293838863,0.8579234972677595,0.7969543147208121,0.7644598812474321,0.8258255928397872
hist_gradient_boosting,fog,231,0.7931034482758621,0.7965367965367965,0.7948164146868251,0.7589285714285714,0.8355778365471025
hist_gradient_boosting,rain,194,0.7116564417177914,0.5979381443298969,0.6498599439775911,0.5805965550180261,0.7075036817365692
hist_gradient_boosting,glare,60,0.6052631578947368,0.38333333333333336,0.46938775510204084,0.36024942660550463,0.599251968503937
hist_gradient_boosting,backlight,55,0.6851851851851852,0.6727272727272727,0.6788990825688074,0.5890572390572391,0.7751650165016502
hist_gradient_boosting,transition,77,0.7045454545454546,0.4025974025974026,0.512396694214876,0.4163377926421405,0.622808219178082
hist_gradient_boosting,nir_night,361,0.9752747252747253,0.9833795013850416,0.9793103448275862,0.9692013242292572,0.9890926295711263
knn,night_clear,417,0.9116997792494481,0.9904076738609112,0.9494252873563218,0.9350254924852587,0.9631359947266509
knn,normal_night,352,0.8440366972477065,0.7840909090909091,0.812960235640648,0.7766507011270363,0.8497307033118155
