path,env_class,bucket,bucket_fn,run_mode,before_log_rms_contrast,before_pct_saturated,before_pct_crushed,before_hist_entropy,before_local_contrast_std,after_log_rms_contrast,after_pct_saturated,after_pct_crushed,after_hist_entropy,after_local_contrast_std,proc_ms
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/992.jpg,nir_night,A,HybridNIREnhancer,still_image_cold_start_mode,2.09515,0.021733,0.006311,7.72054,57.07012,2.05448,0.163467,0.0,7.35775,50.47557,5.37
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/992.jpg,nir_night,B,nir_nir_night_clahe,still_image_cold_start_mode,2.09515,0.021733,0.006311,7.72054,57.07012,2.17652,0.018044,0.006267,7.78123,49.83512,0.245
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/992.jpg,nir_night,D,nir_dehaze_lite,still_image_cold_start_mode,2.09515,0.021733,0.006311,7.72054,57.07012,1.8552,0.005733,0.000489,7.77751,59.92296,0.812
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/1045.jpg,nir_night,A,HybridNIREnhancer,still_image_cold_start_mode,1.91707,0.009556,0.016933,7.5969,66.59897,1.92714,0.077956,0.0,7.45941,55.11625,5.469
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/1045.jpg,nir_night,B,nir_nir_night_clahe,still_image_cold_start_mode,1.91707,0.009556,0.016933,7.5969,66.59897,2.07094,0.0132,0.007333,7.7011,53.80448,0.204
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/1045.jpg,nir_night,D,nir_dehaze_lite,still_image_cold_start_mode,1.91707,0.009556,0.016933,7.5969,66.59897,1.65535,0.007644,0.015644,7.81763,64.95969,1.037
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/6593.jpg,nir_night,A,HybridNIREnhancer,still_image_cold_start_mode,1.97002,0.012844,0.000578,7.0871,36.3292,2.09835,0.186978,0.0,7.21929,39.69908,6.067
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/6593.jpg,nir_night,B,nir_nir_night_clahe,still_image_cold_start_mode,1.97002,0.012844,0.000578,7.0871,36.3292,2.11797,0.010711,0.002978,7.7244,36.02363,0.233
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/6593.jpg,nir_night,D,nir_dehaze_lite,still_image_cold_start_mode,1.97002,0.012844,0.000578,7.0871,36.3292,1.69274,0.002756,0.000622,6.85146,39.04107,0.66
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/694.jpg,nir_night,A,HybridNIREnhancer,still_image_cold_start_mode,1.61815,8.9e-05,0.000133,7.20316,40.39082,1.66162,0.017067,0.0,7.54646,37.45734,5.546
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/694.jpg,nir_night,B,nir_nir_night_clahe,still_image_cold_start_mode,1.61815,8.9e-05,0.000133,7.20316,40.39082,1.82336,0.004933,0.000267,7.73079,44.98705,0.192
/Users/phongpham/Downloads/smartBinocular/data/weather/gray/694.jpg,nir_night,D,nir_dehaze_lite,still_image_cold_start_mode,1.61815,8.9e-05,0.000133,7.20316,40.39082,1.51999,0.004978,0.0,7.71998,44.45063,1.094
